Program;Year;Period;Week Ending;Geo Level;State;State ISO;State ANSI;Ag District;Ag District Code;County;County ANSI;Zip Code;Region;watershed_code;Watershed;Commodity;Data Item;Domain;Domain Category;Value;Value in Kg per Acre;CV (%)
SURVEY;2011;YEAR;;STATE;MASSACHUSETTS;MA;25;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.07;3692;
SURVEY;2012;YEAR;;STATE;MASSACHUSETTS;MA;25;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.97;3602;
SURVEY;2013;YEAR;;STATE;MASSACHUSETTS;MA;25;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.12;3738;
SURVEY;2014;YEAR;;STATE;MASSACHUSETTS;MA;25;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.67;3329;
SURVEY;2015;YEAR;;STATE;MASSACHUSETTS;MA;25;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.24;3846;
SURVEY;2010;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.5;3175;
SURVEY;2011;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.5;4082;
SURVEY;2012;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;0.57;517;
SURVEY;2013;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;6.24;5661;
SURVEY;2014;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.16;2867;
SURVEY;2015;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.99;2712;
SURVEY;2016;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.78;4336;
SURVEY;2010;YEAR;;STATE;MISSOURI;MO;29;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.47;2241;
SURVEY;2011;YEAR;;STATE;MISSOURI;MO;29;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.4;3084;
SURVEY;2012;YEAR;;STATE;MISSOURI;MO;29;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.4;2177;
SURVEY;2013;YEAR;;STATE;MISSOURI;MO;29;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.2;2903;
SURVEY;2014;YEAR;;STATE;MISSOURI;MO;29;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.15;2858;
SURVEY;2015;YEAR;;STATE;MISSOURI;MO;29;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.91;1733;
SURVEY;2016;YEAR;;STATE;MISSOURI;MO;29;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.34;2123;
SURVEY;2010;YEAR;;STATE;NEW JERSEY;NJ;34;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;6.43;5833;
SURVEY;2011;YEAR;;STATE;NEW JERSEY;NJ;34;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;6.04;5479;
SURVEY;2012;YEAR;;STATE;NEW JERSEY;NJ;34;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;6.12;5552;
SURVEY;2013;YEAR;;STATE;NEW JERSEY;NJ;34;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4;3629;
SURVEY;2014;YEAR;;STATE;NEW JERSEY;NJ;34;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.85;4400;
SURVEY;2015;YEAR;;STATE;NEW JERSEY;NJ;34;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.5;4082;
SURVEY;2016;YEAR;;STATE;NEW JERSEY;NJ;34;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.3;3901;
SURVEY;2010;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.69;3348;
SURVEY;2011;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.25;3856;
SURVEY;2012;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.63;1479;
SURVEY;2013;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.84;4391;
SURVEY;2014;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.54;4119;
SURVEY;2015;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.37;3964;
SURVEY;2016;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.73;1569;
SURVEY;2010;YEAR;;STATE;NORTH CAROLINA;NC;37;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5;4536;
SURVEY;2011;YEAR;;STATE;NORTH CAROLINA;NC;37;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.82;4373;
SURVEY;2012;YEAR;;STATE;NORTH CAROLINA;NC;37;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.82;4373;
SURVEY;2013;YEAR;;STATE;NORTH CAROLINA;NC;37;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.45;4944;
SURVEY;2014;YEAR;;STATE;NORTH CAROLINA;NC;37;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4;3629;
SURVEY;2015;YEAR;;STATE;NORTH CAROLINA;NC;37;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.51;4091;
SURVEY;2016;YEAR;;STATE;NORTH CAROLINA;NC;37;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3;2722;
SURVEY;2010;YEAR;;STATE;OHIO;OH;39;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.2;4717;
SURVEY;2011;YEAR;;STATE;OHIO;OH;39;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.03;4563;
SURVEY;2012;YEAR;;STATE;OHIO;OH;39;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.54;3211;
SURVEY;2013;YEAR;;STATE;OHIO;OH;39;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.37;4872;
SURVEY;2014;YEAR;;STATE;OHIO;OH;39;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;0.33;299;
SURVEY;2015;YEAR;;STATE;OHIO;OH;39;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.88;1706;
SURVEY;2016;YEAR;;STATE;OHIO;OH;39;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.45;2223;
SURVEY;2010;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.82;4373;
SURVEY;2011;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.02;3647;
SURVEY;2012;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.73;4291;
SURVEY;2013;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.88;4427;
SURVEY;2014;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.74;3393;
SURVEY;2015;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.55;4128;
SURVEY;2016;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4;3629;
SURVEY;2010;YEAR;;STATE;SOUTH CAROLINA;SC;45;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;7.1;6441;
SURVEY;2011;YEAR;;STATE;SOUTH CAROLINA;SC;45;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;6.13;5561;
SURVEY;2012;YEAR;;STATE;SOUTH CAROLINA;SC;45;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.41;4001;
SURVEY;2013;YEAR;;STATE;SOUTH CAROLINA;SC;45;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.98;4518;
SURVEY;2014;YEAR;;STATE;SOUTH CAROLINA;SC;45;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.69;4255;
SURVEY;2015;YEAR;;STATE;SOUTH CAROLINA;SC;45;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.92;4463;
SURVEY;2016;YEAR;;STATE;SOUTH CAROLINA;SC;45;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.87;4418;
SURVEY;2010;YEAR;;STATE;TEXAS;TX;48;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.59;2350;
SURVEY;2011;YEAR;;STATE;TEXAS;TX;48;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.23;1116;
SURVEY;2012;YEAR;;STATE;TEXAS;TX;48;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.75;2495;
SURVEY;2013;YEAR;;STATE;TEXAS;TX;48;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.5;2268;
SURVEY;2014;YEAR;;STATE;TEXAS;TX;48;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.23;1116;
SURVEY;2015;YEAR;;STATE;TEXAS;TX;48;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.7;1542;
SURVEY;2016;YEAR;;STATE;TEXAS;TX;48;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.47;1334;
SURVEY;2010;YEAR;;STATE;UTAH;UT;49;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.87;2604;
SURVEY;2011;YEAR;;STATE;UTAH;UT;49;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.87;2604;
SURVEY;2012;YEAR;;STATE;UTAH;UT;49;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.53;3202;
SURVEY;2013;YEAR;;STATE;UTAH;UT;49;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.17;3783;
SURVEY;2014;YEAR;;STATE;UTAH;UT;49;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5;4536;
SURVEY;2015;YEAR;;STATE;UTAH;UT;49;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3;2722;
SURVEY;2016;YEAR;;STATE;UTAH;UT;49;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.3;3901;
