Program;Year;Period;Week Ending;Geo Level;State;State ISO;Commodity;Data Item;Domain;Domain Category;Value;Apples in Kg per Acre;Pears in Kg per Acre;Blueberries in Kg per Acre;Cherries in Kg per Acre;Peaches in Kg per Acre;Strawberries in Kg per Acre
SURVEY;2009;YEAR;;STATE;WASHINGTON;WA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;34,000;15422;;;;;
SURVEY;2009;YEAR;;STATE;WEST VIRGINIA;WV;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;16,700;7575;;;;;
SURVEY;2009;YEAR;;STATE;WISCONSIN;WI;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,400;4717;;;;;
;;;;;ALABAMA;AL;;;;;;;;;;;
;2010;YEAR;;STATE;ARKANSAS;AR;;;;;;;;;;;
SURVEY;2010;YEAR;;STATE;ARIZONA;AZ;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,200;6441;;;;;
SURVEY;2010;YEAR;;STATE;CALIFORNIA;CA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;15,600;7076;;;;;
SURVEY;2010;YEAR;;STATE;COLORADO;CO;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,000;4536;;;;;
SURVEY;2010;YEAR;;STATE;CONNECTICUT;CT;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;11,000;4990;;;;;
;;;;;FLORIDA;FL;;;;;;;;;;;
;;;;;GEORGIA;GA;;;;;;;;;;;
SURVEY;2010;YEAR;;STATE;IDAHO;ID;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;23,100;10478;;;;;
SURVEY;2010;YEAR;;STATE;ILLINOIS;IL;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;23,600;10705;;;;;
SURVEY;2010;YEAR;;STATE;INDIANA;IN;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,400;6532;;;;;
SURVEY;2010;YEAR;;STATE;IOWA;IA;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;3,800;1724;;;;;
SURVEY;2010;YEAR;;STATE;MAINE;ME;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,000;4536;;;;;
SURVEY;2010;YEAR;;STATE;MARYLAND;MD;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;22,400;10160;;;;;
